,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,declarationOfCalamity,evacuationCenters,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresent,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers,reference,otherDescription,otherDescription,otherDescription,startDate,endDate
264,Tropical Cyclone,Typhoon Toyang,"November 29 - December 2, 2000",,,Region 7; Region 8; CARAGA,"Landslide (Wet), Flash Flood, Flood (General)","Severe Weather Bulletin, Flood Advisory",105,286,9,3,3,9891,50927,4701,22811,1272,57,,0.58,,reported power interruptions,,5 bridges collapsed,1459 stranded ferry passengers,,,,262560,"LGU, City Council of Toledo, DPWH, AFP, NDCC",,,,,,,,,,,,NDCC OCD Final Report,"Typhoon Toyang entered PAR 8AM Nov 27, expected landfall by Nov 29, maximum winds of 75 kph, gustiness up to 90 kph, as of Dec 1 provinces lowered to Signal No 1 with only 55 kph wind and Dec 2 over Sibuyan Sea",International Name Typhoon Rumbia (Toyang). Total of 114 evac centers used.,,2000-11-29,2000-12-02
265,Tropical Cyclone,Southwest Monsoon Rains,"June 28 - July 14, 2002",,,Region 1; 3; 4; 6; 11; 12; NCR; CAR,"Landslide (Wet), Flash Flood, Flood (General)",Severe Weather Bulletin,75,2125,61,41,5,425072,1994369,3632,16593,404,2059,104.103,287.393,0.71,,,"Some roads not passable, ",Several maritime incidents,,dam gates opened for Ambuklao and Binga Dams,,25602755,"NDCC, LGU, AFP, DSWD, DOH, DOTC, PCG, PNRC, NFA",,,,,,,,,,,,,Two weeks of rain,"Typhoon Rammasun (Florita, June 28-July 3), Typhoon Chataan (Gloria, June 7-9), Typhoon Nakri (Hambalos, July 9), Typhoon Halong (Inday, July 12-14)",,2002-06-28,2002-07-14
266,Tropical Cyclone,Tropical Depression Milenyo,"August 11-14, 2002",,,Region 4; 5; 6; 7; 8; 12; NCR; CARAGA,"Landslide (Wet), Flash Flood, Flood (General)","Severe Weather Bulletin, Flood Advisory",15,250,35,22,21,38634,194451,2180,10998,208,652,87.918,83.04,0.631,power failure,,"2 damaged bridges, 1 collapsed; roads wash out and eroded, plus major road landslides","Several maritime accidents, fishing boats missing, ",,,,6152531.23,"NDCC, LGU,AFP, PCG, DPWH, DSWD, NGO",,,615403,,,,,,,,,NDCC OCD Final Report,Typhoon Milenyo,,,2002-08-11,2002-08-14
267,,Disaster Report Archives,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDCC OCD Archive Report,,,,2004-01-01,2004-12-31
268,Fire (Misc),Fire Incident Summary,"October 2 - 28, 2004",,,"NCR, Pampanga, Surigao del Norte",,3rd to 5th Alarm,,12,10,4,,151,,,,149,,75,,,,,,,,,,,"BFP, CDAG, NDCC",,,,,,,,,,,,,"11 fire incidents reported in NCR, 1 in Pampangga","Summary of all fire events in October 2004, done by CCLit and not from NDCC Report",,2004-10-02,2004-10-28
269,Fire (Misc),"San Jose St, Guadalupe Nuevo Fire",2004-10-28 00:00:00,,,Makati City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-28,2004-10-28
270,Fire (Misc),Brgy Holy Spirit Fire,2004-10-26 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-26,2004-10-26
271,Fire (Misc),FTI Complex Fire,2004-10-25 00:00:00,,,Taguig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-25,2004-10-25
272,Fire (Misc),Tomas Mapua St Fire,2004-10-23 00:00:00,,,"Sta Cruz, Manila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-23,2004-10-23
273,Fire (Misc),"Scout Rallos, Kamuning Fire",2004-10-19 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-19,2004-10-19
274,Fire (Misc),"Vista Verde, North Caloocan Fire",2004-10-17 00:00:00,,,Caloocan City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-17,2004-10-17
275,Fire (Misc),"Oroqueta Rd., Fire",2004-10-14 00:00:00,,,Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-14,2004-10-14
276,Fire (Misc),"Dalanghita St, Project 2 Fire",2004-10-13 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-13,2004-10-13
277,Fire (Misc),Aurora Market at P Burgos St near Katipunan Fire,2004-10-11 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-11,2004-10-11
278,Fire (Misc),Brgy Poblacion 6 Fire,2004-10-11 00:00:00,,,"Brgy Poblacion 6, Dapa, Surigao del Norte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-11,2004-10-11
279,Fire (Misc),Bukal Fire,2004-10-07 00:00:00,,,"Brgy Poblacion, Muntinlupa City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-07,2004-10-07
280,Fire (Misc),Consunji St. Fire,2004-10-04 00:00:00,,,"San Fernando, Pampangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-04,2004-10-04
281,Human Induced,Vehicular Accidents Summary,"October 10 and 17, 2004",,,"Region IV-A, IV-B",,,,2,2,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bus and tricycle collision in Pagbilao, Quezon resulted in 1 injury and plane crash in Coron, Palawan killed 2.",Summary of vehicular accidents,,2017-10-10,2017-10-10
285,Tropical Cyclone,Typhoon Tonyo,2004-10-24 00:00:00,,,Region II,"Landslide (Wet), Flash Flood, Flood (General)",Severe Weather Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typhoon Tonyo,"No damage reported, should this be included?",,2004-10-24,2004-10-24
286,Tropical Cyclone,Typhoon Siony summary,"October 13-23, 2004",,,Region II; V,"Landslide (Wet), Flash Flood, Flood (General), Tornado",Severe Weather Bulletin,,182,,6,,44378,221890,4441,22295,5,,,,,,,,,,,,,"NDCC, LGU, MERN, DSWD",,,Rice distributed,,,,,,,,,,"During Typhoon Siony, heavy rains and ITCZ affect ARMM region, particularly Maguindanao. Caused Totnado in Brgy Polloc, Parang and flashfloods in 17 municipalities where 44378 families were affected.",,,2004-10-13,2004-10-23
287,Tornado,Brgy Polloc Tornado,2004-10-18 00:00:00,,,"Parang, Maguindanao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-18,2004-10-18
288,Flash Flood,Flash Flood,2004-10-15 00:00:00,,,Maguindanao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-15,2004-10-15
289,Tropical Cyclone,Typhoon Rolly,"October 5-8, 2004",,,Region II,"Flood (General), Flash Flood, Rogue Wave, Coastal Flood",Severe Weather Bulletin,,6,5,3,1,14,84,,,,14,17,,,,,,,,,,,,,,50 packs of food,,,,,,,,,,"During Tropical Storm Rolly, floods occured in Brgy Baclas and Inauaya, Cauayan where 3 drowned, strong waves in Galas Beach Dipolog (washed away 4, 3 rescued 1 missing) and Brgy Labuan Zamboanga (1 dead, 14 houses affected), a highway cracked due to rains in Zamboanga, and a maritime accident that resulted in drowning of a person who fell overboard in Brgy Rio Hondo, Zamboanga. Typhoon Rolly had strong winds up to 75 kph and gustiness of 90 kph, and was heading north northwest.",,,2004-10-05,2004-10-08
290,Rockfall (Dry),"Boulder Fall in Brgy Pinagbayangang, Pagbilao, Quezon",2004-10-09 00:00:00,13.967337,121.6895,Region 4,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder fell on a lady when she was digging in a deep ravine in Tanay, Rizal",,,2004-10-09,2004-10-09
291,Earthquake (Ground Movement),Earthquake,2004-10-26 00:00:00,,,Region 8,Ground Movement,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 3.8 50 km west of Tagbilaran,"No damage reported, should this be included?",,2004-10-26,2004-10-26
292,Earthquake (Ground Movement),Earthquake,2004-10-11 00:00:00,,,Region 3; 4; NCR,Ground Movement,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 6.2 Tagaytay City,"No damage reported, should this be included?",,2004-10-11,2004-10-11
293,Earthquake (Ground Movement),Earthquake,2004-10-11 00:00:00,,,Region 9,Ground Movement,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 5.7 General Santos City,"No damage reported, should this be included?",,2004-10-11,2004-10-11
294,Earthquake (Ground Movement),Earthquake,2004-10-08 00:00:00,,,Region 3; 4; NCR,Ground Movement,Earthquake Bulletin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnitude 6.2 67 km west of Tagaytay City,"No damage reported, should this be included?",,2004-10-08,2004-10-08
295,Volcanic Activity (General),Taal Volcano Activity,2004-10-28 00:00:00,14.002,120.993,Region 4,,Alert Level Raised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indication of low-level episode of unrest, Alert level 0 was raised to Alert level 1","No damage reported, should this be included?",,2004-10-28,2004-10-28
296,,Disaster Report Archives,2005-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDCC OCD Archive Report,,,,2005-01-01,2005-01-01
297,Human Induced,Armed Conflict Summary,2005-01-01 00:00:00,,,Region 12; ARMM,,,,14,27,1,1,2683,13415,1527,7635,9,,,,,,,,,,,,,,,,"850 sacks of rice, 800 packs of goods",,,,,,,,,,Armed conlict in Sultan Kudarat and Maguindanao,Summary of armed conflict reports in January 2005,,2005-01-01,2005-01-01
298,Armed Conflict,Brgy Linangtangan Armed Conflict in Maguindanao,2005-01-01 00:00:00,,,"Mamasapano, Maguindanao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01,2005-01-01
299,Armed Conflict,Armed Conflict in Sultan Kudarat,2005-01-01 00:00:00,,,"Palimbang, Sultan Kudarat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01,2005-01-01
300,Armed Conflict,"Santo Nino Church, Shooting Incident",2005-01-16 00:00:00,11.710538,122.363589," Kalibo, Aklan, Region 6",,,,1,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shooting in Kalibo Aklan,,,2005-01-16,2005-01-16
301,Human Induced,Fire Incident Summary,"January 5-29, 2005",,,Region 4; 6; 7; NCR,,3rd to 5th Alarm,,8,5,9,,368,1097,,,222,5,246.4,,,,,,,,,,,"BFP, CDAG, NDCC, Brgy Offices, The Guardian, PSWDP, Kabalikat Civicom, 1st QRRB, AFP, Calauag Reservist Club, ",,,,,,,,,,,,,"At least 8 fire incidents were reported in NCR, Cebu, Aklan, Quezon","Summary of all fire events in January 2005, done by CCLit and not from NDCC Report",,2005-01-05,2005-01-29
302,Fire (Industrial),"16th floor UCPB Building, Paseo de Roxas cor Makati Ave Fire",2005-01-29 00:00:00,,,Makati City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-29,2005-01-29
303,Fire (Misc),Poblacion Brgy 3 and 4 Fire,2005-01-27 00:00:00,,,"Calauag, Quezon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-27,2005-01-27
304,Fire (Misc),"Carlos Palanca, P. Nasat Fire",2005-01-25 00:00:00,,,"Quiapo, Manila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-25,2005-01-25
305,Fire (Misc),"Scout Tobias, Roces Avenue Fire",2005-01-22 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22
306,Fire (Misc),"Sitio De Asis, San Martin De Porres Service Road Fire",2005-01-22 00:00:00,,,Paranaque City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22
307,Fire (Misc),Barrio Tanyag Fire,2005-01-22 00:00:00,,,Taguig City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22
308,Fire (Misc),"Talipapa Area, Sitio Manggayad Fire",2005-01-21 00:00:00,,,"Brgy Manoc-manoc, Boracay, Aklan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-21,2005-01-21
309,Fire (Misc),Tabada St Fire,2005-01-21 00:00:00,,,"Brgy Mambaling, Cebu City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-21,2005-01-21
310,Fire (Misc),"Don Antonio Heights, Brgy Holy Spirit Fire",2005-01-18 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-18,2005-01-18
311,Fire (Misc),Decena St cor Libertad Fire,2005-01-15 00:00:00,,,Pasay City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-15,2005-01-15
312,Fire (Misc),"Gate 4 Port Area, Borringa St cor Vito Cruz Fire",2005-01-05 00:00:00,,,Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-05,2005-01-05
315,Air,Small Lalaguna Cove Plane Crash,2005-01-16 00:00:00,,,"Brgy Sabang, Puerto Galera, Oriental Mindoro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-16,2005-01-16
316,Water,Coron Pier Sea Mishap (Ship Sunk),2005-01-29 00:00:00,,,"Coron, Palawan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-29,2005-01-29
317,Road,"Litex Riverside, Brgy Mangahan, Commonwealth Avenue Bus Crash",2005-01-22 00:00:00,,,Quezon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-22
318,Flash Flood,Flash Floods Summary in Davao Occidental,"January 18-22, 2005",,,Davao Occidental,,Weather Bulletin,,3,1,,,291,,291,,,,0.23,0.14,,,,,,,,,,,,,,,,,,,,,,,ITCZ brought in several days of heavy rain. ,"January 18, single flash flood drowned 1 person. January 22-24 heavy rains affected 291 families whose homes were flash flooded.",,2005-01-18,2005-01-22
319,Flash Flood,Flash Floods Summary in Davao Occidental,2005-01-18 00:00:00,,,"Brgy Tamaoang, Tarragona, Davao Occidental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-18,2005-01-18
320,Flash Flood,Flash Floods Summary in Davao Occidental,January 22-24 2005,,,"Baganga, Davao Occidental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-22,2005-01-24
321,Rogue Wave,Big Waves in Tawi-tawi,2005-01-02 00:00:00,4.747166,119.406179,"Tawi-tawi, ARMM",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ITCZ in Mindanao and tail end of cold front caused strong winds to create huge waves in Sintangkai, Tawitawi","Islands of Bungin and Pondohan afected, fisherment reported killed but no verified reports on casualties and property damage.",,2005-01-02,2005-01-02
322,Landslide (Dry),"Landslide in St Bernard, Southern Leyte",2006-02-17 00:00:00,10.333333,125.097222,Southern Leyte,,,,8,156,28,968,3850,18862,1014,3742,375,,92.2,22.6,,,,,,,,,223915387.78,"NDCC, LGU, AFP, DSWD, DOH, DENR, PNRC, PAGASA, DPWH, DILG, DOTC, PCG, DepEd, NGOs","US, India, Taiwan, China, Indonesia, Malaysia, Singapore, Thailand, Japan, Turkey, and Korea Govts, UN, USAID, UNICEF, UNDAC, Unidad Canina de Rescete Y Salvamento (Spain), JICA, IFRCC, OXFAM, FELFSCCAG, AusAID, World Vision, Save the Children, Plan International, Hyundai, KIA, Japan Group of Company, Hanjin Heavy Industries Construction LTD, Japanese Chamber of Commerce Inc, Japanese Association Manila Inc.",,,,,,,,,,,NDCC OCD Final Report,"Landslide occured in Brgy Guinsaugon, St Bernard, Southerne Leyte at 10:36 am, 17 February, 2006. There were cracks reported by MGB at slopes prior to landslide, there was two weeks of continuous heavy rain and a magnitude 2.6 earthquake felt prior to the event. A few minutes after the entire barangay was buried by landslide materials (mud, boulders, angular fragments of highly weathered volcanic rocks), and mud and water spurted out of the detached slope. ",Occurence of 53 persons from other Brgys during the occurence of the landslide.,,2006-02-17,2006-02-17
323,Oil Spill,"M/T Solar 1 Oil Spillage, Guimaras",2006-08-11 00:00:00,10.48244,122.474661,Region VI,,,,65,,11,2,8580,42109,83,342,,,,,1059185,,,,,,Extreme damage to coastline and marine ecosystems,,95047982.4,"NDCC, LGU, MEPCOM, CGDWV, CGOF, PETRON CORP, MARPOL, Malayan, Harbor Star, First Response Inc, PNRC, NTC, PIA, RCDG, MIA, DOH, DENR, CHD, BFAR-DA, PFDA-DA, DSWD, PCG, DOST, UPV, ITOPF, OPARD, WV, Aksyon Radyo, MEPU, FMRSI, PLDT, Mirant Ph, Zuelig, Chevron, Total, Splash Foundation, UniLab Inc, Cleanway Technology Corp, Guard-All Electronic Security Systems Inc, Servicio Filipino, Lockheed Detective and Watchman Agency, Kapuso Foundation, ABS-CBN, Bombo Radyo, Taus Puso","German Technical Cooperation, FAO, Australia Govt, German Development Service Volunteers, IMO, IOPC, P&I Club, UNEP-OCHA UNOSAT, UNICEF, UNDP, Japan Coast Guard, US Coast Guard, NOAA, France Govt",,,1200 rice sacks,,,,,"1,154,77.00",Around 400 residents with illness,,NDCC OCD Final Report,MT Sorlar 1 (owned by Sunshine Maritime Devt Corp) sank offshore southwest of Luzaran Point Guimaras island. It contained 2 million Liters of industrial fuel (bunker oil). Oil impacted shorelines o,"1,143.43 ha of land and marine area, 305 ha mangroves, 58 ha seaweed farms, 15.8 sq km of coral reefs, 311 km coastline affected by the spillage.",,2006-08-11,2006-08-11
324,Miscellaneous Accident (General),IDPs in Mindanao,"August 10, 2008 - July 14, 2009",,,Region 10; 12; ARMM,,,,1368,141,135,,68782,327484,13439,59739,1445,266,99.025,152.566,,,,,,,,,181073031.38,"NDCC, LGU, PCSP, TESDA, DILG, DA, PNP, NEDA, TOG-10, MEDCO, DWSD, UNDP, DOH","UN System, INGOs",,3496667.6,,,,,,2000000,10 units of latrines,,NDCC OCD Situational Report No. 76,Internally Displaced Populations due to conflict in Mindanao.,"Part of Volume 4, scan of volume not complete.",,2008-08-10,2009-07-14
325,Volcanic Activity (General),1754 Taal Eruption,"May 13, 1754",14.002,120.993,Batangas,"Earthquake (Ground Movement), Tsunami, Ashfall, Pyroclastic Flow, Lava Flow, Flood (General)",,,,12,,,,,,,Very many,,Extreme,,,,,,,,,,,,,,,,,,,,,,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, National Geographic Vol 23 No 4 April 1912, A synthesis and review of historical eruptions at Taal Volcano, Southern
Luzon, Philippines, Perla J. Delos Reyes et al 2018  Earth Science Reviews vol 177","May 15 to December 4, 1754 ""> 100 explosions; ~150 million m3 of ejecta; eruption column ~40 km; ash drifted W, SW & S resulting in collapse of houses with ~1.1 m volcanic
deposits; deposits covered an area of 400 km2 and reached Manila but thickness undetermined; pyroclastic density currents affected entire volcano island, crossing the lake and affected shoreline communities but majority towards W & SW; complete devastation of Old Taal, Old Lipa, Sala and Old Tanauan; damming of Pansipit River causing flooding in Old Lipa and Old Tanauan;""",Does not include areas which experienced minor ash fall.,,1754-05-13,1754-05-13
326,Volcanic Activity (General),1814 Mayon Eruption,"February 1, 1814",13.257,123.685,Albay,"Earthquake (Ground Movement), Ash Fall, Pyroclastic Flow, Lava Flow, Severe Weather",Warning from Church Bell,,,1200,,,,,,,Many,,Severe,,,,,,,,,,,"Fr. Francisco Aragoneses, parish priest of Cagsawa and Budiao asked donations from good hearted people from the capital city Manila, but these reached the victims only until several months later. The local authorities had already decided to relocated the survivors in a place they could both insure their safety and provide them their good land where they once more put up their houses and till the land.",,,,,,,,,,,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, Volcan de Albay by Enrique Abella Casariego, Cayetano Sanchez OFM. ""A Town Called Daraga"". DPI Bulletin Vol. I No. 7. 7 September 1976. Text in blog https://orgolyo.blogspot.com/2015/10/tragic-mistake-on-february-1-1814.html) ","February 1-15, 1814 ""A great earthquake was felt followed by loud thunders. It kept on throwing lava violently, when the cloud slowly extended, darkening the earth and setting fire to the atmosphere. From the earth you could see lightning and sparks coming out and crossing with each other, composing a terrifying tempest. This was immediately followed by such a terrible rain of wide lit rocks that destroyed and set fire to all they found in their way. Short after smaller stones, sand and ash fell, lasting for longer than three hours and the darkness at least for five hours. It burnt and destroyed entirely the villages""","Camalig, Cagsawaa and Budiao, half of Albay and Guinobatan and to a lesser extent Bulusan Does not include areas which experienced minor ash fall.",,1814-02-01,1814-02-01
327,Volcanic Activity (General),1911 Taal Eruption,1911-01-30 00:00:00,14.002,120.993, Batangas,"Earthquake (Ground Movement), Tsunami, Ash Fall, Pyroclastic Flow","995 seismic disturbances - up to intensity IV, Iminent volcanic eruption - advisory to evacuate and camp in open grounds",,13,1335,199,Many,,Very many,,Very few,543,,Severe,"702 cattle drowned, All vegetation, including trees, destroyed (130,159 Php)",Damaged,Damaged,Damaged,Damaged,Damaged,Not applicable,Not applicable,Damaged,,"Provincial Government under the American Regime, Philippine Constabulary, Philippine General Hospital, Army Hospital, Batangas Schools Officials","US Army Burial Corps, US Army Signal Corps, America Treasury of Batangas, Red Cross",,,,,,,,,Donated,,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, National Geographic Vol 23 No 4 April 1912, A synthesis and review of historical eruptions at Taal Volcano, Southern
Luzon, Philippines, Perla J. Delos Reyes et al 2018  Earth Science Reviews vol 177, Disasters as Contingent Events: Volcanic Eruptions, State Advisories, and Public Participation in the Twentieth-century Philippines Filomeno V. Aguilar Jr. Philippine Studies: Historical and Ethnographic Viewpoints Volume 64 Numbers 3-4 September-December 2016 pp. 593-624","January 27 to February 8, 1911 ""Volume of ejecta ~80 million m3; pyroclastic density current affected 15 km of land including entire TVI, Talisay and other lakeshore barrios W of TVI; TF
~25–80 cm thick that affected entire TVI and towns N–NW–W–SW of the island (Talisay, Laurel, Tagaytay, Agoncillo) & can be seen 400 km away from Taal; accretionary lapilli was observed; fissures at Lemery & Taal; explosions heard in Manila (60 km away); 1335 fatalities; damage to flora & fauna""","Talisay, San Nicolas, Laurel, Agoncillo. Does not include areas which experienced minor ash fall. The 1911 eruption of Taal serves as the worst case scenario eruption for the volcano. ""On 28 January morning, the American who worked as tourist guide to the volcano had cabled the Bureau of Science that Taal was in eruption (Worcester 2012, 334). “Meanwhile various other telegrams had been received at Manila, stating that a huge column of black ‘smoke’ had been pouring out of the crater since early morning, and that sinister subterranean umblings were causing panic among the people of the neighboring towns” (ibid.). Given the lament of Fr. Saderra Masó, apparently no one in the colonial government took notice of the telegrams that were sent at least two days prior to the worst explosion. The information sent to the Bureau of Science would appear not to have reached the Weather Bureau, and neither did the latter warn the public despite the series of earthquakes its observatory had recorded and traced to the region of Taal days before the eruption.""",,1911-01-30,1911-01-30
328,Volcanic Activity (General),1951 Hibok Hibok Eruption,1951-12-04 00:00:00,9.203,124.673,"Mambajao, Camiguin","Earthquake (Ground Movement), Ash Fall, Pyroclastic Flow, Lava Flow, Severe Weather",,,11,500,,1500,,65000,,20000,Many,,Severe,Severe,,,,,,,,,1000000,"Provincial Government, Philippine Constabulary, Philippine General Hospital, Army Hospital, Batangas Schools Officials, Committe on Volcanology of the Department of Agriculture and Natural Resources,  Weather Bureau and Bureau of Mines, National Research Council-UP",,,,,,,,,,,150000,"Global Volcanism Program, NOAA, Catalogue of Philippine Volcanoes by Phivolcs, Lawrence Journal-World December 4 and 11 1951, https://www.youtube.com/watch?v=j_pTwnURbk4&feature=youtu.be , The calamities of 1951 and the president's action-- The Freeman January 5 2015, Time Magazine December 17 1951--The Philippines:Tragedy at Hibok-Hibok, A preliminary report on the recent eruptions of Hibok-hibok volcano Camuguin Island Philippines by the Philippine Geodetic and Geophysical Institute 1952, Disasters as Contingent Events: Volcanic Eruptions, State Advisories, and Public Participation in the Twentieth-century Philippines Filomeno V. Aguilar Jr. Philippine Studies: Historical and Ethnographic Viewpoints Volume 64 Numbers 3-4 September-December 2016 pp. 593-624","Activity of the Hibok-Hibok from September 1, 1948 to July 16, 1953, resulted in a series of deaths and damages but the December 1951 eruptions resulted in the most casualties and widest scope of destruction. The initial eruption in 1948 was a lava flow and dammed Kanangkaan Valley and the 1949 activity shifted to dark heavy, hot ash clouds from the new Itum crater where only 2 men were killed and tillable land in this area was destroyed. The 1950 eruption of some ash and minor ejecta caused casualties because the locals had become accustomed to and unperturbed by the activity of the volcano and have ventured to cultivate lands close to it as well as carry on with their daily lives, in addition to the topography of the area that localized the effects of the blast. Thus, being accustomed to minor volcanic acitivity, having topography which would direct volcanic material to towns downslope, plus and unexpecting a strong and very explosive eruption, The 1951 activity caused a widespread destruction from hot glowing pyroclastic flows the buried the town of Mambajao.",Does not include areas which experienced minor ash fall.,,1951-12-04,1951-12-04
